epoch,train_loss,test_loss,train_acc,test_acc
1,0.07908531278371811,0.06283861301129773,0.7087374049306705,0.72125
2,0.04117608442902565,0.030535496372197355,0.7250932099803394,0.72125
3,0.02888956479728222,0.02774286081659652,0.7250932099803394,0.72125
4,0.02598388120532036,0.027467615702854737,0.811664101303808,0.833383056640625
5,0.021160563454031944,0.02073720485592882,0.8991189918770696,0.919759033203125
6,0.018318140879273415,0.01800947119703605,0.911961435482202,0.92474267578125
7,0.016405176371335983,0.01960179185317386,0.9243160020436673,0.88427685546875
8,0.01594390720129013,0.03126298190493669,0.9274607273127069,0.847044677734375
9,0.017512470483779907,0.015343951527029276,0.9197367484995861,0.9370745849609375
10,0.013846118934452534,0.01498243696100655,0.9378512553031871,0.9118062744140625
11,0.013268232345581055,0.012845571430045225,0.9357166416597682,0.93839453125
12,0.011592788621783257,0.012334237579211947,0.9448650435896109,0.94046484375
13,0.010770222172141075,0.01227030456287875,0.948922870964404,0.936970703125
14,0.010505476966500282,0.01228515336489571,0.9501779316276904,0.9546353759765625
15,0.010353852063417435,0.011283552384979668,0.9503072776541804,0.9516322021484375
16,0.009286532178521156,0.0110076761671475,0.9576747464817881,0.951391845703125
17,0.008654735051095486,0.01072271837897244,0.9583800865324917,0.95107080078125
18,0.008227174170315266,0.011941368259223444,0.9615749333867963,0.9611884765625
19,0.0077015990391373634,0.010562323676865725,0.9640147228114653,0.9599599609375
20,0.007481144741177559,0.009855353511825558,0.9647750349234272,0.9582158203125
