epoch,train_loss,test_loss,train_acc,test_acc
1,0.07453306764364243,0.05715114077819245,0.7081019925755381,0.72125
2,0.03720059618353844,0.02999504061327094,0.7250932099803394,0.8885455322265625
3,0.026881610974669456,0.026208349858366307,0.8782393095509106,0.8740823974609375
4,0.024623651057481766,0.026001966070561183,0.8738839863151904,0.8804500732421875
5,0.024098562076687813,0.0253147211790617,0.8700108812344785,0.8645035400390625
6,0.022363882511854172,0.027857879864140636,0.8811835484788907,0.91348388671875
7,0.021691644564270973,0.022677679036167405,0.8935518580556705,0.9212037353515625
8,0.018335675820708275,0.01757135540468707,0.9098474363617549,0.9073502197265625
9,0.01620020717382431,0.01664456606487788,0.9214109711299668,0.935874755859375
10,0.013835874386131763,0.014572670184341925,0.9348387055049668,0.9261851806640625
11,0.012308440171182156,0.014012233797638189,0.9431693980235927,0.951189208984375
12,0.012331441976130009,0.012262569795850487,0.9418007553807947,0.9433973388671875
13,0.011102951131761074,0.01179537823468092,0.9468359536682533,0.934650634765625
14,0.01084361132234335,0.012066279571237308,0.9499576391763245,0.9345250244140625
15,0.010389958508312702,0.014773890886100986,0.9530081843698262,0.9072811279296875
16,0.011579858139157295,0.011262299393170647,0.9434208143625827,0.957561279296875
17,0.009555760771036148,0.010739632366624261,0.9545878227183361,0.95402490234375
18,0.00911511480808258,0.012848012775759258,0.9581226070985099,0.962093994140625
19,0.008322454988956451,0.009910416462281276,0.9613602998240894,0.957563232421875
20,0.007967164739966393,0.009925916086926702,0.9632059059395696,0.955269287109375
