epoch,train_loss,test_loss,train_acc,test_acc
1,0.5175042152404785,0.3164988866164571,0.7073546150662252,0.870639892578125
2,0.29594770073890686,0.26966100097412155,0.8753710614134934,0.8857369384765625
3,0.24992892146110535,0.23949103766963595,0.8910433535544288,0.8926131591796875
4,0.24071504175662994,0.6613424044279825,0.8951116902938742,0.72125
5,0.2788819968700409,0.2643675914122945,0.8773674364911009,0.8721656494140625
6,0.24587126076221466,0.23455586993978136,0.8936836293201573,0.8938836669921875
7,0.24085170030593872,0.2577424663163367,0.8924605009571606,0.8699501953125
8,0.2278539538383484,0.2366754114627838,0.8974779141659768,0.8906759033203125
9,0.22108358144760132,0.24765203520655632,0.899188515366308,0.8930145263671875
10,0.22118961811065674,0.23145233023734318,0.9008704179170116,0.895665283203125
11,0.22127607464790344,0.2313484794327191,0.9019937073158113,0.8924666748046876
12,0.2195964902639389,0.22614255849094617,0.9018865926376242,0.8968839111328125
13,0.21628563106060028,0.2317564875951835,0.9040066548530629,0.8989970703125
14,0.21391704678535461,0.22140412174520038,0.9054124844784768,0.9004267578125
15,0.20900647342205048,0.2221823081019379,0.9065867038752069,0.8979949951171875
16,0.2031683772802353,0.23159945259491602,0.9110471207574503,0.886288818359375
17,0.19122052192687988,0.2015612567109721,0.9157545077090232,0.9142015380859375
18,0.1815595030784607,0.18073294852815924,0.9211130710627069,0.918767578125
19,0.15174607932567596,0.1768916126872812,0.9343593167942881,0.9256826171875
20,0.14407332241535187,0.15304277180915787,0.938495155991308,0.9366591796875
